"Year Month","State","Countym","Industry","Suspicious Activity","Count"
"2020 January","South Dakota","Grant County, SD","Depository Institution","Transaction(s) Below CTR Threshold","1"
"2020 January","South Dakota","Grant County, SD","Depository Institution","[Total]","3"
"2020 January","South Dakota","Gregory County, SD","Depository Institution","Alters or Cancels Transaction to Avoid CTR Requirement","1"
"2020 January","South Dakota","Gregory County, SD","Depository Institution","[Total]","1"
"2020 January","South Dakota","Hamlin County, SD","Depository Institution","ACH","1"
"2020 January","South Dakota","Hamlin County, SD","Depository Institution","Credit/Debit Card","1"
"2020 January","South Dakota","Hamlin County, SD","Depository Institution","Elder Financial Exploitation","1"
"2020 January","South Dakota","Hamlin County, SD","Depository Institution","Identity Theft","1"
"2020 January","South Dakota","Hamlin County, SD","Depository Institution","Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences","1"
"2020 January","South Dakota","Hamlin County, SD","Depository Institution","Mail","1"
"2020 January","South Dakota","Hamlin County, SD","Depository Institution","Other Fraud (Type)","1"
"2020 January","South Dakota","Hamlin County, SD","Depository Institution","Suspicious use of multiple transaction locations","1"
"2020 January","South Dakota","Hamlin County, SD","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","1"
"2020 January","South Dakota","Hamlin County, SD","Depository Institution","[Total]","9"
"2020 January","South Dakota","Kingsbury County, SD","Depository Institution","Elder Financial Exploitation","1"
"2020 January","South Dakota","Kingsbury County, SD","Depository Institution","Other Fraud (Type)","1"
"2020 January","South Dakota","Kingsbury County, SD","Depository Institution","[Total]","2"
"2020 January","South Dakota","Lake County, SD","Depository Institution","Transaction Out of Pattern for Customer(s)","1"
"2020 January","South Dakota","Lake County, SD","Depository Institution","[Total]","1"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Account Takeover","95"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","ACH","294"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Against Financial Institution Customer(s)","13"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement","2"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Alters or Cancels Transaction to Avoid CTR Requirement","1"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Bribery or Gratuity","1"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Changes Spelling or Arrangement of Name","2"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Check","1,177"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Consumer Loan (see instructions)","3"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Credit/Debit Card","515"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Elder Financial Exploitation","7"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Embezzlement/Theft/Disappearance of Funds","4"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Forgeries","4"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Funnel Account","166"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Human Trafficking","3"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Identity Theft","83"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Known or Suspected Terrorist/Terrorist Organization","1"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences","46"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Loan Modification Fraud","1"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Mass-Marketing","2"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Misuse of Position or Self-Dealing","1"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Multiple Individuals with Same or Similar Identities","2"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Other Cyber Event","20"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Other Fraud (Type)","91"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Other Identification Documentation","1"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Other Money Laundering","118"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Other Mortgage Fraud","7"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Other Other Suspicious Activities","228"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Other Securities/Futures/Options","2"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Other Structuring","9"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Other Terrorist","1"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Provided Questionable or False Identification","3"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Refused or Avoided Request for Documentation","2"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Securities","2"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Single Individual with Multiple Identities","3"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Suspected Public/Private Corruption (Domestic)","1"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Suspected Public/Private Corruption (Foreign)","5"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Suspicion Concerning the Physical Condition of Funds","1"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Suspicion Concerning the Source of Funds","632"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Suspicious Designation of Beneficiaries, Assignees or Joint Owners","1"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Suspicious EFT/Wire Transfers","512"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Suspicious Exchange of Currencies","5"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements","4"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Suspicious Receipt of Government Payments/Benefits","4"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Suspicious Use of Informal Value Transfer System","2"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Suspicious Use of Multiple Accounts","213"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Suspicious use of multiple transaction locations","220"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Suspicious Use of Noncash Monetary Instruments","72"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Suspicious Use of Third-Party Transactors (Straw-Man)","7"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Trade Based Money Laundering/Black Market Peso Exchange","16"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Transaction Out of Pattern for Customer(s)","178"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","556"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Transaction(s) Below BSA Recordkeeping Threshold","76"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Transaction(s) Below CTR Threshold","22"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Transaction(s) Involving Foreign High Risk Jurisdiction","203"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Two or More Individuals Working Together","94"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","Wire","205"
"2020 January","South Dakota","Lincoln County, SD","Depository Institution","[Total]","5,939"
"2020 January","South Dakota","Meade County, SD","Depository Institution","ACH","1"
"2020 January","South Dakota","Meade County, SD","Depository Institution","Against Financial Institution Customer(s)","1"
"2020 January","South Dakota","Meade County, SD","Depository Institution","Other Fraud (Type)","1"
"2020 January","South Dakota","Meade County, SD","Depository Institution","Transaction(s) Below CTR Threshold","1"
"2020 January","South Dakota","Meade County, SD","Depository Institution","[Total]","4"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Account Takeover","5"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","ACH","51"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Against Financial Institution Customer(s)","2"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Against Financial Institution(s)","4"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Application Fraud","1"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Check","31"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Consumer Loan (see instructions)","2"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Counterfeit Instrument","14"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Credit/Debit Card","53"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Elder Financial Exploitation","8"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Embezzlement/Theft/Disappearance of Funds","3"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Forgeries","4"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Identity Theft","8"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences","1"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Misuse of Position or Self-Dealing","1"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Other Fraud (Type)","9"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Other Gaming Activites","1"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Other Identification Documentation","1"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Other Money Laundering","12"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Other Mortgage Fraud","1"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Other Other Suspicious Activities","82"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Provided Questionable or False Documentation","5"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Provided Questionable or False Identification","1"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Suspected Public/Private Corruption (Foreign)","1"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Suspicion Concerning the Physical Condition of Funds","1"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Suspicion Concerning the Source of Funds","47"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Suspicious EFT/Wire Transfers","21"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements","1"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Suspicious Receipt of Government Payments/Benefits","1"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Suspicious Use of Multiple Accounts","8"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Suspicious use of multiple transaction locations","17"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Suspicious Use of Noncash Monetary Instruments","5"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Suspicious Use of Third-Party Transactors (Straw-Man)","1"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Trade Based Money Laundering/Black Market Peso Exchange","17"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Transaction Out of Pattern for Customer(s)","13"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","44"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Transaction(s) Below CTR Threshold","25"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Transaction(s) Involving Foreign High Risk Jurisdiction","2"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Two or More Individuals Working Together","9"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","Wire","10"
"2020 January","South Dakota","Minnehaha County, SD","Depository Institution","[Total]","523"
"2020 January","South Dakota","Moody County, SD","Depository Institution","Other Money Laundering","1"
"2020 January","South Dakota","Moody County, SD","Depository Institution","Other Other Suspicious Activities","1"
"2020 January","South Dakota","Moody County, SD","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","1"
"2020 January","South Dakota","Moody County, SD","Depository Institution","Transaction(s) Below CTR Threshold","1"
"2020 January","South Dakota","Moody County, SD","Depository Institution","Two or More Individuals Working Together","1"
"2020 January","South Dakota","Moody County, SD","Depository Institution","[Total]","5"
"2020 January","South Dakota","Pennington County, SD","Depository Institution","Alters or Cancels Transaction to Avoid CTR Requirement","3"
"2020 January","South Dakota","Pennington County, SD","Depository Institution","Check","2"
"2020 January","South Dakota","Pennington County, SD","Depository Institution","Elder Financial Exploitation","2"
"2020 January","South Dakota","Pennington County, SD","Depository Institution","Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences","1"
"2020 January","South Dakota","Pennington County, SD","Depository Institution","Other Fraud (Type)","1"
"2020 January","South Dakota","Pennington County, SD","Depository Institution","Other Other Suspicious Activities","1"
"2020 January","South Dakota","Pennington County, SD","Depository Institution","Other Structuring","1"
"2020 January","South Dakota","Pennington County, SD","Depository Institution","Suspicion Concerning the Source of Funds","7"
"2020 January","South Dakota","Pennington County, SD","Depository Institution","Suspicious EFT/Wire Transfers","5"
"2020 January","South Dakota","Pennington County, SD","Depository Institution","Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements","4"
"2020 January","South Dakota","Pennington County, SD","Depository Institution","Suspicious Use of Multiple Accounts","1"
"2020 January","South Dakota","Pennington County, SD","Depository Institution","Suspicious use of multiple transaction locations","3"
"2020 January","South Dakota","Pennington County, SD","Depository Institution","Suspicious Use of Noncash Monetary Instruments","1"
"2020 January","South Dakota","Pennington County, SD","Depository Institution","Transaction Out of Pattern for Customer(s)","1"
"2020 January","South Dakota","Pennington County, SD","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","3"
"2020 January","South Dakota","Pennington County, SD","Depository Institution","Transaction(s) Below CTR Threshold","6"
"2020 January","South Dakota","Pennington County, SD","Depository Institution","Transaction(s) Involving Foreign High Risk Jurisdiction","1"
"2020 January","South Dakota","Pennington County, SD","Depository Institution","Two or More Individuals Working Together","2"
"2020 January","South Dakota","Pennington County, SD","Depository Institution","[Total]","45"
"2020 January","South Dakota","Perkins County, SD","Depository Institution","ACH","1"
"2020 January","South Dakota","Perkins County, SD","Depository Institution","Check","1"
"2020 January","South Dakota","Perkins County, SD","Depository Institution","Other Fraud (Type)","1"
"2020 January","South Dakota","Perkins County, SD","Depository Institution","Other Other Suspicious Activities","1"
"2020 January","South Dakota","Perkins County, SD","Depository Institution","Suspicion Concerning the Source of Funds","2"
"2020 January","South Dakota","Perkins County, SD","Depository Institution","Suspicious EFT/Wire Transfers","1"
"2020 January","South Dakota","Perkins County, SD","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","1"
"2020 January","South Dakota","Perkins County, SD","Depository Institution","Two or More Individuals Working Together","1"
"2020 January","South Dakota","Perkins County, SD","Depository Institution","Wire","1"
"2020 January","South Dakota","Perkins County, SD","Depository Institution","[Total]","10"
"2020 January","South Dakota","Potter County, SD","Depository Institution","Transaction(s) Below CTR Threshold","1"
"2020 January","South Dakota","Potter County, SD","Depository Institution","[Total]","1"
"2020 January","South Dakota","Roberts County, SD","Depository Institution","Business Loan","1"
"2020 January","South Dakota","Roberts County, SD","Depository Institution","Other Fraud (Type)","1"
"2020 January","South Dakota","Roberts County, SD","Depository Institution","[Total]","2"
"2020 January","South Dakota","Sully County, SD","Depository Institution","Check","1"
"2020 January","South Dakota","Sully County, SD","Depository Institution","Elder Financial Exploitation","2"
"2020 January","South Dakota","Sully County, SD","Depository Institution","Forgeries","1"
"2020 January","South Dakota","Sully County, SD","Depository Institution","Funnel Account","1"
"2020 January","South Dakota","Sully County, SD","Depository Institution","Identity Theft","1"
"2020 January","South Dakota","Sully County, SD","Depository Institution","Other Other Suspicious Activities","1"
"2020 January","South Dakota","Sully County, SD","Depository Institution","Suspicion Concerning the Source of Funds","1"
"2020 January","South Dakota","Sully County, SD","Depository Institution","Suspicious EFT/Wire Transfers","2"
"2020 January","South Dakota","Sully County, SD","Depository Institution","Suspicious use of multiple transaction locations","1"
"2020 January","South Dakota","Sully County, SD","Depository Institution","Transaction Out of Pattern for Customer(s)","1"
"2020 January","South Dakota","Sully County, SD","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","1"
"2020 January","South Dakota","Sully County, SD","Depository Institution","Transaction(s) Involving Foreign High Risk Jurisdiction","1"
"2020 January","South Dakota","Sully County, SD","Depository Institution","Two or More Individuals Working Together","1"
"2020 January","South Dakota","Sully County, SD","Depository Institution","[Total]","15"
"2020 January","South Dakota","Todd County, SD","Depository Institution","Suspicious Use of Noncash Monetary Instruments","1"
"2020 January","South Dakota","Todd County, SD","Depository Institution","Unlicensed or Unregistered MSB","1"
"2020 January","South Dakota","Todd County, SD","Depository Institution","[Total]","2"
"2020 January","South Dakota","Union County, SD","Depository Institution","Check","1"
"2020 January","South Dakota","Union County, SD","Depository Institution","Suspicion Concerning the Source of Funds","1"
"2020 January","South Dakota","Union County, SD","Depository Institution","Suspicious EFT/Wire Transfers","1"
"2020 January","South Dakota","Union County, SD","Depository Institution","Suspicious use of multiple transaction locations","1"
"2020 January","South Dakota","Union County, SD","Depository Institution","Unlicensed or Unregistered MSB","2"
"2020 January","South Dakota","Union County, SD","Depository Institution","[Total]","6"
"2020 January","South Dakota","[Total]","Depository Institution","[Total]","6,698"
"2020 January","Tennessee","Anderson County, TN","Depository Institution","ACH","1"
"2020 January","Tennessee","Anderson County, TN","Depository Institution","Alters or Cancels Transaction to Avoid CTR Requirement","1"
"2020 January","Tennessee","Anderson County, TN","Depository Institution","Check","3"
"2020 January","Tennessee","Anderson County, TN","Depository Institution","Counterfeit Instrument","1"
"2020 January","Tennessee","Anderson County, TN","Depository Institution","Credit/Debit Card","1"
"2020 January","Tennessee","Anderson County, TN","Depository Institution","Forgeries","1"
"2020 January","Tennessee","Anderson County, TN","Depository Institution","Healthcare/Public or Private Health Insurance","1"
"2020 January","Tennessee","Anderson County, TN","Depository Institution","Identity Theft","1"
"2020 January","Tennessee","Anderson County, TN","Depository Institution","Other Fraud (Type)","1"
"2020 January","Tennessee","Anderson County, TN","Depository Institution","Other Other Suspicious Activities","3"
"2020 January","Tennessee","Anderson County, TN","Depository Institution","Suspicion Concerning the Source of Funds","4"
"2020 January","Tennessee","Anderson County, TN","Depository Institution","Suspicious Designation of Beneficiaries, Assignees or Joint Owners","1"
"2020 January","Tennessee","Anderson County, TN","Depository Institution","Suspicious EFT/Wire Transfers","2"
"2020 January","Tennessee","Anderson County, TN","Depository Institution","Suspicious Receipt of Government Payments/Benefits","1"
"2020 January","Tennessee","Anderson County, TN","Depository Institution","Suspicious Use of Multiple Accounts","2"
"2020 January","Tennessee","Anderson County, TN","Depository Institution","Suspicious use of multiple transaction locations","4"
"2020 January","Tennessee","Anderson County, TN","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","4"
"2020 January","Tennessee","Anderson County, TN","Depository Institution","Transaction(s) Below CTR Threshold","6"
"2020 January","Tennessee","Anderson County, TN","Depository Institution","Transaction(s) Involving Foreign High Risk Jurisdiction","1"
"2020 January","Tennessee","Anderson County, TN","Depository Institution","Two or More Individuals Working Together","2"
"2020 January","Tennessee","Anderson County, TN","Depository Institution","[Total]","41"
"2020 January","Tennessee","Bedford County, TN","Depository Institution","Embezzlement/Theft/Disappearance of Funds","1"
"2020 January","Tennessee","Bedford County, TN","Depository Institution","Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences","2"
"2020 January","Tennessee","Bedford County, TN","Depository Institution","Misuse of Position or Self-Dealing","1"
"2020 January","Tennessee","Bedford County, TN","Depository Institution","Other Fraud (Type)","1"
"2020 January","Tennessee","Bedford County, TN","Depository Institution","Other Money Laundering","2"
"2020 January","Tennessee","Bedford County, TN","Depository Institution","Other Other Suspicious Activities","1"
"2020 January","Tennessee","Bedford County, TN","Depository Institution","Suspicion Concerning the Source of Funds","1"
"2020 January","Tennessee","Bedford County, TN","Depository Institution","Suspicious EFT/Wire Transfers","1"
"2020 January","Tennessee","Bedford County, TN","Depository Institution","Suspicious use of multiple transaction locations","1"
"2020 January","Tennessee","Bedford County, TN","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","3"
